cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.2,600.0,891674624,691437568,22.5,175345664,8544256,0,0.0,59.072
0.0,600.0,891674624,691437568,22.5,175345664,8544256,0,0.0,59.072
2.3,800.0,891674624,691331072,22.5,175452160,8437760,0,0.0,59.072
8.2,800.0,891674624,691032064,22.5,175689728,8085504,0,0.0,59.072
9.9,800.0,891674624,690274304,22.6,176410624,7278592,0,0.0,60.148
13.7,1200.0,891674624,690012160,22.6,176623616,7286784,0,0.0,60.148
0.0,600.0,891674624,691126272,22.5,175558656,8105984,0,0.0,59.61
0.0,600.0,891674624,691228672,22.5,175456256,8208384,0,0.0,59.072
0.5,600.0,891674624,691253248,22.5,175431680,8232960,0,0.0,59.61
0.2,600.0,891674624,691286016,22.5,175431680,8232960,0,0.0,60.148
0.0,600.0,891674624,691286016,22.5,175431680,8232960,0,0.0,59.072
0.2,600.0,891674624,691286016,22.5,175431680,8232960,0,0.0,59.072
0.0,600.0,891674624,691286016,22.5,175431680,8232960,0,0.0,59.072
0.8,600.0,891674624,691261440,22.5,175456256,8208384,0,0.0,59.072
0.0,600.0,891674624,691286016,22.5,175431680,8232960,0,0.0,59.072
