time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
15:35:18.563034,0.0,600.0,891674624,698765312,21.6,168030208,351670272,0,0.0,323423,48.85
15:35:19.575412,21.5,1200.0,891674624,697655296,21.8,169332736,350367744,0,0.0,329714,49.926
15:35:20.591648,18.0,600.0,891674624,698658816,21.6,168124416,351440896,0,0.0,334833,50.464
15:35:21.602587,31.5,1200.0,891674624,695615488,22.0,171134976,348336128,0,0.0,345481,51.54
15:35:22.619345,2.2,600.0,891674624,698671104,21.6,168108032,351350784,0,0.0,345582,50.464
