cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691597312,22.4,175198208,8085504,0,0.0,59.072
0.0,600.0,891674624,691597312,22.4,175198208,8085504,0,0.0,59.072
2.8,800.0,891674624,691597312,22.5,175312896,7970816,0,0.0,59.072
9.7,700.0,891674624,691187712,22.5,175538176,7667712,0,0.0,59.072
7.8,800.0,891674624,690294784,22.6,176414720,6627328,0,0.0,60.148
11.7,600.0,891674624,691445760,22.5,175271936,8732672,0,0.0,60.148
0.7,600.0,891674624,691494912,22.4,175235072,8724480,0,0.0,59.072
0.2,600.0,891674624,691494912,22.4,175235072,8724480,0,0.0,59.072
0.0,600.0,891674624,691494912,22.4,175235072,8724480,0,0.0,59.072
0.0,600.0,891674624,691494912,22.4,175235072,8724480,0,0.0,59.072
0.8,600.0,891674624,691412992,22.5,175316992,8642560,0,0.0,59.61
0.0,600.0,891674624,691453952,22.5,175276032,8683520,0,0.0,59.61
0.0,600.0,891674624,691453952,22.5,175276032,8683520,0,0.0,59.61
0.2,625.0,891674624,691453952,22.5,175276032,8683520,0,0.0,59.072
0.0,600.0,891674624,691453952,22.5,175276032,8683520,0,0.0,59.072
