cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.2,600.0,891674624,691642368,22.4,175153152,10706944,0,0.0,62.838
0.0,600.0,891674624,691515392,22.4,175280128,10579968,0,0.0,63.376
10.1,1200.0,891674624,691564544,22.4,175362048,10498048,0,0.0,64.452
46.0,1200.0,891674624,688840704,22.7,177942528,7659520,0,0.0,65.528
48.2,1200.0,891674624,688373760,22.8,178552832,6774784,0,0.0,66.604
45.8,1200.0,891674624,687857664,22.9,178937856,6361088,0,0.0,67.68
45.2,1200.0,891674624,687472640,22.9,179286016,5992448,0,0.0,68.756
46.6,1200.0,891674624,687747072,22.9,179175424,6103040,0,0.0,68.756
47.7,1200.0,891674624,687730688,22.9,179154944,6119424,0,0.0,69.294
45.7,1200.0,891674624,687292416,22.9,179503104,5902336,0,0.0,69.832
46.2,1200.0,891674624,687706112,22.9,179220480,6053888,0,0.0,70.37
45.6,1200.0,891674624,687722496,22.9,179073024,6201344,0,0.0,69.832
45.0,1200.0,891674624,687751168,22.9,179044352,6361088,0,0.0,70.908
46.1,1200.0,891674624,687788032,22.9,178872320,6266880,0,0.0,70.908
46.7,1200.0,891674624,687738880,22.9,178921472,6217728,0,0.0,70.908
45.5,1200.0,891674624,687710208,22.9,179150848,6119424,0,0.0,71.984
45.4,1200.0,891674624,687742976,22.9,179052544,6348800,0,0.0,72.522
45.3,1200.0,891674624,687562752,22.9,179232768,6037504,0,0.0,73.06
43.8,800.0,891674624,687824896,22.9,178970624,6299648,0,0.0,73.06
47.1,1200.0,891674624,687886336,22.9,179040256,6230016,0,0.0,73.06
45.5,1200.0,891674624,687759360,22.9,178905088,6365184,0,0.0,73.06
44.8,1200.0,891674624,687919104,22.9,178876416,6393856,0,0.0,73.06
45.5,1200.0,891674624,687734784,22.9,178929664,6340608,0,0.0,73.06
47.5,1200.0,891674624,687702016,22.9,179093504,6176768,0,0.0,73.06
46.1,1200.0,891674624,687759360,22.9,179036160,6234112,0,0.0,73.598
45.8,1200.0,891674624,687599616,22.9,179195904,5943296,0,0.0,73.06
45.7,1200.0,891674624,687443968,22.9,179253248,5885952,0,0.0,73.598
45.6,1200.0,891674624,687583232,22.9,179212288,5926912,0,0.0,74.136
42.3,1200.0,891674624,687960064,22.8,178835456,8597504,0,0.0,73.598
45.0,1200.0,891674624,687714304,22.9,179212288,8220672,0,0.0,73.598
45.5,1200.0,891674624,687841280,22.9,178954240,8609792,0,0.0,74.674
47.6,1200.0,891674624,687566848,22.9,179228672,8204288,0,0.0,74.136
44.6,1200.0,891674624,687763456,22.9,179032064,8400896,0,0.0,74.674
46.8,1200.0,891674624,687849472,22.9,178946048,8486912,0,0.0,74.136
43.3,1200.0,891674624,687833088,22.9,179093504,8339456,0,0.0,74.674
47.0,1200.0,891674624,687702016,22.9,179093504,8208384,0,0.0,74.136
44.1,1200.0,891674624,687669248,22.9,179253248,8306688,0,0.0,75.212
47.1,1200.0,891674624,687702016,22.9,179089408,8339456,0,0.0,74.674
43.4,1200.0,891674624,687665152,22.9,179130368,8298496,0,0.0,75.212
47.5,1200.0,891674624,687697920,22.9,179228672,8331264,0,0.0,74.674
36.0,1200.0,891674624,685834240,23.1,181092352,6336512,0,0.0,74.674
49.4,1200.0,891674624,687505408,22.9,179421184,8007680,0,0.0,74.136
43.7,1200.0,891674624,687587328,22.9,179339264,8220672,0,0.0,74.136
47.2,1200.0,891674624,687624192,22.9,179171328,8388608,0,0.0,75.212
44.0,1200.0,891674624,687665152,22.9,179130368,8298496,0,0.0,74.674
47.4,1200.0,891674624,687681536,22.9,178982912,8445952,0,0.0,75.212
44.4,1200.0,891674624,687730688,22.9,179064832,8364032,0,0.0,75.212
47.2,1200.0,891674624,687697920,22.9,179224576,8200192,0,0.0,75.212
44.2,1200.0,891674624,687636480,22.9,179154944,8138752,0,0.0,75.212
46.4,1200.0,891674624,687755264,22.9,178905088,8519680,0,0.0,75.212
42.6,1200.0,891674624,687505408,22.9,179286016,8269824,0,0.0,75.75
46.3,1200.0,891674624,687706112,22.9,179085312,8339456,0,0.0,75.212
44.5,1200.0,891674624,687632384,22.9,179027968,8396800,0,0.0,76.288
47.4,1200.0,891674624,687599616,22.9,179326976,8228864,0,0.0,75.75
44.2,1200.0,891674624,687710208,22.9,179085312,8208384,0,0.0,75.75
47.7,1200.0,891674624,687804416,22.9,178991104,8433664,0,0.0,75.75
44.7,1200.0,891674624,687636480,22.9,179159040,8265728,0,0.0,75.212
47.4,1200.0,891674624,687726592,22.9,179068928,8355840,0,0.0,76.288
44.1,1200.0,891674624,687632384,22.9,179159040,8261632,0,0.0,76.288
46.8,1200.0,891674624,687357952,22.9,179302400,7987200,0,0.0,76.288
43.5,1200.0,891674624,687534080,22.9,179257344,8163328,0,0.0,76.288
47.2,1200.0,891674624,687693824,22.9,179097600,8323072,0,0.0,76.288
44.2,1200.0,891674624,686927872,23.0,179863552,7426048,0,0.0,76.288
48.0,1200.0,891674624,687718400,22.9,179204096,8216576,0,0.0,76.288
43.8,1200.0,891674624,687771648,22.9,178982912,8429568,0,0.0,76.288
45.9,1200.0,891674624,687538176,22.9,179380224,8032256,0,0.0,76.288
42.3,1200.0,891674624,687599616,22.9,179187712,8224768,0,0.0,76.288
46.9,1200.0,891674624,687558656,22.9,179359744,8183808,0,0.0,76.288
43.0,1000.0,891674624,687665152,22.9,179122176,8159232,0,0.0,76.288
47.8,1200.0,891674624,687775744,22.9,179142656,8269824,0,0.0,76.826
44.8,850.0,891674624,687747072,22.9,179036160,8372224,0,0.0,76.826
46.2,1200.0,891674624,687751168,22.9,178999296,8409088,0,0.0,76.288
47.1,1200.0,891674624,687562752,22.9,179220480,8187904,0,0.0,76.826
44.0,1200.0,891674624,687755264,22.9,178929664,8347648,0,0.0,76.826
45.7,1200.0,891674624,685871104,23.1,181055488,6352896,0,0.0,77.364
44.6,1200.0,891674624,687702016,22.9,179093504,8314880,0,0.0,77.364
47.0,1200.0,891674624,687640576,22.9,179089408,8187904,0,0.0,77.364
44.0,1200.0,891674624,687874048,22.9,179052544,8355840,0,0.0,77.364
47.8,1200.0,891674624,687734784,22.9,179060736,8347648,0,0.0,76.288
43.7,1200.0,891674624,687853568,22.9,178941952,8335360,0,0.0,77.364
47.7,1200.0,891674624,687476736,22.9,179318784,8089600,0,0.0,77.364
43.4,1200.0,891674624,687669248,22.9,179253248,8151040,0,0.0,77.364
46.2,1200.0,891674624,687841280,22.9,179081216,8323072,0,0.0,77.364
44.1,1200.0,891674624,688214016,22.8,178544640,8728576,0,0.0,77.364
47.5,1200.0,891674624,687841280,22.9,179081216,8323072,0,0.0,76.826
42.6,1200.0,891674624,687759360,22.9,179032064,8372224,0,0.0,76.826
47.6,1200.0,891674624,687767552,22.9,179023872,8380416,0,0.0,77.902
43.3,1200.0,891674624,687828992,22.9,178958336,8437760,0,0.0,77.364
47.6,1200.0,891674624,687796224,22.9,178991104,8404992,0,0.0,77.364
42.6,1200.0,891674624,687943680,22.9,178974720,8421376,0,0.0,77.364
46.6,1200.0,891674624,687886336,22.9,178900992,8364032,0,0.0,77.364
40.0,1200.0,891674624,685895680,23.1,180891648,6504448,0,0.0,76.826
25.0,1200.0,891674624,686415872,23.0,180371456,7024640,0,0.0,76.288
42.6,1200.0,891674624,688033792,22.9,178753536,8642560,0,0.0,77.364
41.6,1200.0,891674624,688041984,22.8,178606080,8781824,0,0.0,76.288
46.7,1200.0,891674624,688312320,22.8,178466816,8921088,0,0.0,77.364
43.8,1200.0,891674624,688558080,22.8,178221056,9166848,0,0.0,76.288
45.8,1100.0,891674624,688558080,22.8,178348032,9035776,0,0.0,77.364
33.3,1200.0,891674624,688312320,22.8,178462720,8790016,0,0.0,77.364
36.3,1200.0,891674624,689025024,22.7,177618944,9633792,0,0.0,77.364
31.7,1200.0,891674624,689803264,22.6,176947200,10395648,0,0.0,77.364
0.3,600.0,891674624,690462720,22.6,176312320,11321344,0,0.0,75.212
0.5,600.0,891674624,690667520,22.5,176107520,11526144,0,0.0,74.136
0.0,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,73.598
0.0,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,72.522
0.0,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,71.984
0.0,700.0,891674624,690716672,22.5,176054272,11575296,0,0.0,71.446
0.3,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,70.908
0.7,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,70.908
0.0,600.0,891674624,690716672,22.5,176054272,11575296,0,0.0,69.832
