time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
15:25:25.081198,0.0,600.0,891674624,693882880,22.2,172920832,356442112,0,0.0,15490,45.084
15:25:26.094158,5.8,1200.0,891674624,691478528,22.5,175325184,353718272,0,0.0,17829,45.622
15:25:27.112234,21.4,650.0,891674624,691617792,22.4,175333376,353288192,0,0.0,26778,46.698
15:25:28.130020,27.8,600.0,891674624,692334592,22.4,174460928,354217984,0,0.0,37514,47.236
15:25:29.146823,11.3,600.0,891674624,691597312,22.4,175206400,353144832,0,0.0,42325,47.236
15:25:30.163332,0.0,600.0,891674624,691597312,22.4,175206400,353144832,0,0.0,42326,46.16
15:25:31.179485,11.2,600.0,891674624,692387840,22.3,174387200,354398208,0,0.0,47130,46.16
15:25:32.191834,18.5,1200.0,891674624,688652288,22.8,178089984,350158848,0,0.0,55824,47.236
15:25:33.208173,5.6,600.0,891674624,691068928,22.5,175661056,352493568,0,0.0,57816,47.236
15:25:34.220993,7.8,1200.0,891674624,691400704,22.5,175370240,352976896,0,0.0,61002,46.698
15:25:35.233822,19.3,1175.0,891674624,691355648,22.5,175378432,352772096,0,0.0,69067,47.774
15:25:36.249752,10.3,600.0,891674624,691261440,22.5,175472640,352342016,0,0.0,73379,47.774
15:25:37.265907,1.0,600.0,891674624,691056640,22.5,175685632,352129024,0,0.0,73631,47.236
15:25:38.282851,21.0,600.0,891674624,692224000,22.4,174555136,353484800,0,0.0,82316,47.774
15:25:39.299402,12.6,600.0,891674624,691429376,22.5,175345664,352309248,0,0.0,87493,47.774
15:25:40.315692,2.0,600.0,891674624,691499008,22.4,175271936,352337920,0,0.0,88022,47.236
15:25:41.333651,23.1,600.0,891674624,692199424,22.4,174534656,353234944,0,0.0,97386,48.312
15:25:42.350810,12.2,600.0,891674624,691040256,22.5,175693824,351756288,0,0.0,102997,48.312
15:25:43.367405,0.3,600.0,891674624,691167232,22.5,175611904,351756288,0,0.0,103089,47.236
15:25:44.384813,23.8,600.0,891674624,690847744,22.5,175890432,351612928,0,0.0,112249,47.774
15:25:45.402166,11.4,600.0,891674624,690278400,22.6,176406528,350932992,0,0.0,117173,47.236
15:25:46.418899,0.0,600.0,891674624,690294784,22.6,176390144,350932992,0,0.0,117187,47.774
15:25:47.435432,15.0,600.0,891674624,691396608,22.5,175337472,352280576,0,0.0,123507,48.312
15:25:48.446076,14.5,1200.0,891674624,690319360,22.6,176447488,350720000,0,0.0,130091,48.312
15:25:49.462817,1.3,600.0,891674624,690475008,22.6,176283648,350855168,0,0.0,130671,48.312
15:25:50.479328,18.0,600.0,891674624,690941952,22.5,175931392,351531008,0,0.0,138410,48.312
15:25:51.491187,13.4,1200.0,891674624,690339840,22.6,176402432,350609408,0,0.0,144303,48.312
15:25:52.508361,1.5,625.0,891674624,690606080,22.5,176123904,350838784,0,0.0,144806,47.774
15:25:53.525977,4.8,600.0,891674624,690438144,22.6,176373760,350392320,0,0.0,146124,47.774
15:25:54.539559,11.6,1200.0,891674624,690483200,22.6,176459776,350650368,0,0.0,150870,47.774
15:25:55.554308,17.8,900.0,891674624,689750016,22.7,177168384,349540352,0,0.0,158541,48.312
15:25:56.569951,3.5,700.0,891674624,690765824,22.5,176025600,350629888,0,0.0,159601,47.774
15:25:57.585930,3.0,700.0,891674624,690638848,22.5,176136192,350416896,0,0.0,160512,47.236
15:25:58.598497,5.5,1200.0,891674624,690823168,22.5,175988736,350654464,0,0.0,162503,47.236
15:25:59.615546,0.3,600.0,891674624,692318208,22.4,174456832,352645120,0,0.0,162539,47.774
15:26:00.633016,0.0,650.0,891674624,692318208,22.4,174456832,352645120,0,0.0,162540,47.236
15:26:01.650738,0.2,600.0,891674624,692318208,22.4,174456832,352645120,0,0.0,162541,47.236
