cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.8,600.0,891674624,690499584,22.6,176271360,10698752,0,0.0,66.604
0.0,600.0,891674624,690499584,22.6,176271360,10698752,0,0.0,66.604
1.5,900.0,891674624,690499584,22.6,176271360,10698752,0,0.0,66.604
13.1,975.0,891674624,690176000,22.6,176599040,10330112,0,0.0,67.142
11.2,825.0,891674624,689242112,22.7,177491968,9228288,0,0.0,67.142
15.6,600.0,891674624,690298880,22.6,176476160,10256384,0,0.0,67.68
0.0,600.0,891674624,690446336,22.6,176328704,10403840,0,0.0,66.604
0.0,600.0,891674624,690446336,22.6,176328704,10403840,0,0.0,67.142
0.2,650.0,891674624,690446336,22.6,176328704,10403840,0,0.0,66.604
0.0,600.0,891674624,690446336,22.6,176328704,10403840,0,0.0,66.604
