time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
14:07:53.522762,17.1,1000.0,891674624,701128704,21.4,165695488,416940032,0,0.0,1661445,57.996
14:07:54.536508,14.3,1000.0,891674624,701227008,21.4,165568512,416935936,0,0.0,1669677,57.996
14:07:55.550216,15.6,1000.0,891674624,701100032,21.4,165695488,416808960,0,0.0,1677916,57.996
14:07:56.564006,15.1,1000.0,891674624,701034496,21.4,165662720,416972800,0,0.0,1686150,57.996
14:07:57.577847,15.7,1000.0,891674624,701100032,21.4,165728256,416907264,0,0.0,1694375,57.996
14:07:58.591700,14.7,1000.0,891674624,701386752,21.3,165441536,417226752,0,0.0,1702595,58.534
14:07:59.605614,16.1,1000.0,891674624,701333504,21.3,165462016,417165312,0,0.0,1710836,57.996
14:08:00.619343,14.1,1000.0,891674624,701108224,21.4,165720064,416907264,0,0.0,1719075,58.534
14:08:01.632308,16.4,1200.0,891674624,701300736,21.4,165494784,417132544,0,0.0,1727222,58.534
14:08:02.646305,14.7,1000.0,891674624,701337600,21.3,165498880,417157120,0,0.0,1735463,57.996
14:08:03.660052,16.4,1000.0,891674624,701145088,21.4,165658624,416964608,0,0.0,1743686,58.534
14:08:04.673966,16.4,1000.0,891674624,700952576,21.4,165842944,416772096,0,0.0,1751927,58.534
14:08:05.687816,14.5,1000.0,891674624,701370368,21.4,165588992,417026048,0,0.0,1760154,57.996
14:08:06.701587,14.5,1000.0,891674624,701337600,21.3,165457920,417157120,0,0.0,1768388,57.996
14:08:07.715377,15.0,1000.0,891674624,701259776,21.4,165675008,416940032,0,0.0,1776630,58.534
14:08:08.729258,15.7,1000.0,891674624,701378560,21.4,165588992,417026048,0,0.0,1784869,57.996
14:08:09.743049,14.3,1000.0,891674624,701280256,21.3,165457920,417058816,0,0.0,1792681,57.996
14:08:10.755622,15.6,1000.0,891674624,701026304,21.4,165801984,416772096,0,0.0,1800907,57.996
14:08:11.769452,14.0,1000.0,891674624,701186048,21.4,165642240,416997376,0,0.0,1809120,59.072
14:08:12.783146,15.7,1000.0,891674624,701059072,21.4,165769216,416837632,0,0.0,1817343,58.534
14:08:13.796194,15.6,1000.0,891674624,701374464,21.3,165453824,417153024,0,0.0,1825575,58.534
14:08:14.809949,15.3,1000.0,891674624,701440000,21.3,165355520,417185792,0,0.0,1833794,58.534
14:08:15.823806,15.7,1000.0,891674624,701054976,21.4,165773312,416833536,0,0.0,1842036,59.072
14:08:16.837543,15.3,1000.0,891674624,701313024,21.3,165482496,417124352,0,0.0,1850266,59.072
14:08:17.851181,13.0,1000.0,891674624,701313024,21.4,165548032,417058816,0,0.0,1858483,59.072
14:08:18.865045,15.4,1000.0,891674624,701247488,21.4,165580800,417026048,0,0.0,1866635,58.534
14:08:19.877978,15.6,1125.0,891674624,701087744,21.4,165740544,416866304,0,0.0,1874870,58.534
14:08:20.891710,15.6,1000.0,891674624,701153280,21.4,165642240,416997376,0,0.0,1883105,59.072
14:08:21.905726,15.6,1000.0,891674624,700862464,21.4,165826560,416772096,0,0.0,1891293,59.072
14:08:22.919369,14.2,1000.0,891674624,701251584,21.4,165666816,416964608,0,0.0,1899530,59.072
14:08:23.932440,14.3,1100.0,891674624,701153280,21.4,165666816,416931840,0,0.0,1907749,59.072
14:08:24.944938,15.7,1150.0,891674624,701054976,21.4,165765120,416833536,0,0.0,1915978,59.072
14:08:25.958708,15.8,1000.0,891674624,701251584,21.4,165666816,416931840,0,0.0,1924197,58.534
14:08:26.975851,6.5,600.0,891674624,701128704,21.4,165683200,416907264,0,0.0,1927745,58.534
14:08:27.992160,0.0,600.0,891674624,701153280,21.4,165650432,416931840,0,0.0,1927745,57.996
