cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
1.0,600.0,891674624,691646464,22.4,175149056,26619904,0,0.0,57.996
3.3,600.0,891674624,691671040,22.4,175095808,26644480,0,0.0,58.534
0.0,600.0,891674624,691671040,22.4,175095808,26644480,0,0.0,58.534
0.5,600.0,891674624,691695616,22.4,175071232,26669056,0,0.0,57.996
0.0,600.0,891674624,691716096,22.4,175079424,26660864,0,0.0,57.996
0.3,600.0,891674624,691716096,22.4,175079424,26660864,0,0.0,58.534
0.8,600.0,891674624,691589120,22.4,175206400,26533888,0,0.0,58.534
0.0,600.0,891674624,691589120,22.4,175206400,26533888,0,0.0,59.072
0.0,600.0,891674624,691589120,22.4,175206400,26533888,0,0.0,58.534
0.3,600.0,891674624,691589120,22.4,175206400,26533888,0,0.0,57.996
