cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.3,600.0,891674624,691040256,22.5,175738880,12165120,0,0.0,65.528
0.0,600.0,891674624,691040256,22.5,175738880,12165120,0,0.0,65.528
8.0,1200.0,891674624,690479104,22.6,176300032,11603968,0,0.0,65.528
46.5,1200.0,891674624,687771648,22.9,178978816,8654848,0,0.0,67.68
46.6,1200.0,891674624,687968256,22.8,178618368,8708096,0,0.0,68.756
46.6,1200.0,891674624,687792128,22.9,178782208,8531968,0,0.0,69.832
45.8,1200.0,891674624,687579136,22.9,179179520,8134656,0,0.0,70.37
46.2,1200.0,891674624,687337472,22.9,179421184,7761920,0,0.0,70.908
47.3,1200.0,891674624,688128000,22.8,178630656,8683520,0,0.0,70.908
44.9,1200.0,891674624,688001024,22.8,178655232,8527872,0,0.0,71.446
45.8,1200.0,891674624,688128000,22.8,178761728,8683520,0,0.0,71.984
45.4,1200.0,891674624,688254976,22.8,178503680,8810496,0,0.0,71.984
43.4,1200.0,891674624,686690304,23.0,180068352,7245824,0,0.0,73.06
46.7,1200.0,891674624,687841280,22.9,178917376,8396800,0,0.0,73.06
46.5,1200.0,891674624,688160768,22.8,178597888,8585216,0,0.0,73.06
46.2,1200.0,891674624,687968256,22.8,178790400,8523776,0,0.0,73.598
45.4,1200.0,891674624,688078848,22.8,178675712,8634368,0,0.0,73.06
46.5,1200.0,891674624,687853568,22.9,178769920,8540160,0,0.0,73.598
44.5,900.0,891674624,688013312,22.8,178610176,8699904,0,0.0,74.136
47.6,1200.0,891674624,688066560,22.8,178556928,8753152,0,0.0,74.136
44.0,1200.0,891674624,688361472,22.8,178393088,8785920,0,0.0,74.136
44.6,1200.0,891674624,688136192,22.8,178749440,8560640,0,0.0,74.136
45.6,1200.0,891674624,688013312,22.8,178741248,8568832,0,0.0,74.674
47.3,1200.0,891674624,688078848,22.8,178675712,8634368,0,0.0,74.136
45.6,1200.0,891674624,688177152,22.8,178577408,8601600,0,0.0,75.212
43.8,1200.0,891674624,687525888,22.9,179351552,7950336,0,0.0,75.212
47.9,1200.0,891674624,688164864,22.8,178774016,8527872,0,0.0,75.212
27.5,1200.0,891674624,686329856,23.0,180416512,6885376,0,0.0,74.136
32.7,1200.0,891674624,687292416,22.9,179453952,7847936,0,0.0,74.136
45.7,1200.0,891674624,688201728,22.8,178544640,8757248,0,0.0,75.212
47.2,1200.0,891674624,688320512,22.8,178450432,8851456,0,0.0,74.674
45.0,1200.0,891674624,688222208,22.8,178417664,8884224,0,0.0,75.212
47.0,1200.0,891674624,688287744,22.8,178483200,8818688,0,0.0,75.212
44.1,1200.0,891674624,688001024,22.8,178769920,8531968,0,0.0,75.212
45.6,1000.0,891674624,688087040,22.8,178683904,8617984,0,0.0,75.212
46.8,1200.0,891674624,688238592,22.8,178401280,8900608,0,0.0,75.212
43.8,900.0,891674624,688123904,22.8,178642944,8523776,0,0.0,75.75
46.4,1200.0,891674624,687968256,22.8,178667520,8630272,0,0.0,75.75
42.9,800.0,891674624,687415296,22.9,179351552,7815168,0,0.0,75.212
47.9,1200.0,891674624,688017408,22.8,178618368,8679424,0,0.0,75.212
44.6,1200.0,891674624,688123904,22.8,178642944,8654848,0,0.0,76.288
48.4,1200.0,891674624,688037888,22.8,178733056,8433664,0,0.0,76.288
44.4,1200.0,891674624,688181248,22.8,178720768,8577024,0,0.0,76.288
46.9,1200.0,891674624,687988736,22.8,178782208,8515584,0,0.0,76.288
40.5,1200.0,891674624,686723072,23.0,179916800,7380992,0,0.0,75.75
48.0,1200.0,891674624,688041984,22.9,178794496,8503296,0,0.0,76.288
44.4,1200.0,891674624,687980544,22.8,178790400,8507392,0,0.0,76.826
48.2,1200.0,891674624,688078848,22.8,178561024,8736768,0,0.0,76.288
39.0,1200.0,891674624,686854144,23.0,179916800,7380992,0,0.0,75.75
48.7,1200.0,891674624,688123904,22.8,178614272,8716288,0,0.0,75.75
43.9,1200.0,891674624,688148480,22.8,178491392,8806400,0,0.0,76.826
46.6,1200.0,891674624,688242688,22.8,178528256,8769536,0,0.0,77.364
43.1,1200.0,891674624,688259072,22.8,178479104,8818688,0,0.0,76.288
46.7,1200.0,891674624,688295936,22.8,178606080,8691712,0,0.0,77.364
43.9,1200.0,891674624,687874048,22.8,178765824,8531968,0,0.0,76.826
46.6,1200.0,891674624,688001024,22.8,178769920,8658944,0,0.0,76.826
42.0,1200.0,891674624,687575040,22.9,179195904,8101888,0,0.0,77.364
47.5,1200.0,891674624,688013312,22.8,178757632,8409088,0,0.0,76.826
43.7,1200.0,891674624,688111616,22.8,178790400,8507392,0,0.0,77.364
46.7,1200.0,891674624,688148480,22.8,178622464,8675328,0,0.0,76.826
43.1,1200.0,891674624,688005120,22.8,178765824,8531968,0,0.0,76.826
47.0,1200.0,891674624,688230400,22.8,178671616,8757248,0,0.0,77.364
44.4,1200.0,891674624,688115712,22.8,178622464,8675328,0,0.0,77.364
47.8,1200.0,891674624,688099328,22.8,178700288,8597504,0,0.0,77.364
43.6,1200.0,891674624,688054272,22.8,178716672,8581120,0,0.0,77.364
47.2,1200.0,891674624,688222208,22.8,178548736,8749056,0,0.0,77.364
40.7,1200.0,891674624,686071808,23.1,180699136,6598656,0,0.0,76.826
25.4,1200.0,891674624,686637056,23.0,180133888,7163904,0,0.0,76.288
44.0,1200.0,891674624,688304128,22.8,178466816,8830976,0,0.0,76.288
43.1,1200.0,891674624,688181248,22.8,178589696,8708096,0,0.0,76.826
46.8,1200.0,891674624,688340992,22.8,178589696,8708096,0,0.0,77.364
43.6,1200.0,891674624,688181248,22.8,178589696,8708096,0,0.0,76.288
47.5,1200.0,891674624,687890432,22.8,178749440,8548352,0,0.0,77.364
43.9,1200.0,891674624,688209920,22.8,178495488,8802304,0,0.0,76.826
47.8,1200.0,891674624,687865856,22.9,178774016,8523776,0,0.0,77.902
43.8,1200.0,891674624,688099328,22.8,178671616,8626176,0,0.0,77.364
46.4,1200.0,891674624,688099328,22.8,178802688,8495104,0,0.0,76.826
43.1,1200.0,891674624,688001024,22.8,178769920,8527872,0,0.0,77.364
47.2,1200.0,891674624,687935488,22.8,178835456,8593408,0,0.0,77.902
42.1,1200.0,891674624,687894528,22.9,178745344,8552448,0,0.0,77.902
47.7,1200.0,891674624,687828992,22.9,178876416,8421376,0,0.0,77.364
44.1,1200.0,891674624,687968256,22.8,178802688,8626176,0,0.0,77.364
47.9,1200.0,891674624,688033792,22.8,178737152,8691712,0,0.0,77.364
41.9,900.0,891674624,688062464,22.8,178708480,8589312,0,0.0,77.364
47.3,1200.0,891674624,688107520,22.8,178532352,8765440,0,0.0,77.902
43.4,800.0,891674624,687915008,22.9,178855936,8441856,0,0.0,77.902
47.3,1200.0,891674624,687915008,22.9,178855936,8441856,0,0.0,77.364
44.8,900.0,891674624,688234496,22.8,178536448,8761344,0,0.0,77.364
46.8,1200.0,891674624,688427008,22.8,178343936,8822784,0,0.0,77.902
45.0,925.0,891674624,688185344,22.8,178585600,8712192,0,0.0,77.364
46.5,1200.0,891674624,688152576,22.8,178618368,8810496,0,0.0,77.902
45.6,800.0,891674624,688320512,22.8,178450432,8847360,0,0.0,77.364
44.2,1200.0,891674624,688254976,22.8,178384896,8912896,0,0.0,77.902
47.2,1200.0,891674624,688209920,22.8,178528256,8769536,0,0.0,77.364
44.1,1200.0,891674624,688492544,22.8,178278400,9084928,0,0.0,77.902
45.1,900.0,891674624,688553984,22.8,178216960,9080832,0,0.0,77.902
45.5,1200.0,891674624,688766976,22.8,178003968,9293824,0,0.0,77.364
43.3,800.0,891674624,688857088,22.8,178040832,9256960,0,0.0,78.44
42.4,1200.0,891674624,688906240,22.7,177831936,9498624,0,0.0,77.364
42.3,800.0,891674624,689582080,22.7,177188864,10108928,0,0.0,77.902
26.2,1200.0,891674624,689213440,22.7,177557504,9740288,0,0.0,76.826
24.8,1200.0,891674624,689516544,22.7,177254400,10043392,0,0.0,76.288
15.4,600.0,891674624,691044352,22.5,175665152,11784192,0,0.0,76.288
0.0,600.0,891674624,691044352,22.5,175665152,11784192,0,0.0,74.136
0.0,600.0,891674624,691044352,22.5,175665152,11784192,0,0.0,74.136
0.0,600.0,891674624,691044352,22.5,175665152,11784192,0,0.0,73.06
0.0,600.0,891674624,691044352,22.5,175665152,11784192,0,0.0,71.984
1.5,600.0,891674624,691044352,22.5,175681536,11767808,0,0.0,71.984
0.0,600.0,891674624,691044352,22.5,175681536,11767808,0,0.0,71.984
0.0,600.0,891674624,691044352,22.5,175681536,11767808,0,0.0,70.908
