cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691728384,22.4,175009792,12406784,0,0.0,62.3
0.0,650.0,891674624,691728384,22.4,175009792,12406784,0,0.0,62.3
13.5,1200.0,891674624,691732480,22.4,175063040,12349440,0,0.0,62.3
44.7,1200.0,891674624,688214016,22.8,178573312,8605696,0,0.0,64.452
47.1,1200.0,891674624,688435200,22.8,178339840,8585216,0,0.0,64.99
45.3,800.0,891674624,687996928,22.8,178638848,8245248,0,0.0,65.528
46.9,1100.0,891674624,688025600,22.8,178741248,8138752,0,0.0,66.604
47.0,1200.0,891674624,688283648,22.8,178614272,8265728,0,0.0,66.604
43.5,1200.0,891674624,688066560,22.8,178569216,8310784,0,0.0,67.68
44.8,1200.0,891674624,688054272,22.8,178712576,8167424,0,0.0,67.68
46.5,1200.0,891674624,688259072,22.8,178638848,8241152,0,0.0,68.218
45.8,1200.0,891674624,689020928,22.7,177745920,9232384,0,0.0,68.756
17.6,600.0,891674624,689676288,22.7,177090560,9789440,0,0.0,67.68
5.3,600.0,891674624,691150848,22.5,175616000,11612160,0,0.0,66.604
0.0,650.0,891674624,691183616,22.5,175583232,11644928,0,0.0,65.528
0.5,600.0,891674624,691159040,22.5,175607808,11620352,0,0.0,65.528
