cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691216384,22.5,175570944,11333632,0,0.0,65.528
0.0,600.0,891674624,691216384,22.5,175570944,11333632,0,0.0,64.99
11.0,1200.0,891674624,690311168,22.6,176476160,10428416,0,0.0,65.528
47.7,1200.0,891674624,687800320,22.9,178966528,7655424,0,0.0,67.142
46.9,1200.0,891674624,688005120,22.9,178864128,7602176,0,0.0,68.756
45.8,900.0,891674624,687828992,22.9,178896896,7557120,0,0.0,68.756
47.2,1200.0,891674624,688050176,22.8,178675712,7647232,0,0.0,69.832
46.8,1200.0,891674624,688017408,22.8,178720768,7733248,0,0.0,69.832
44.5,1200.0,891674624,687783936,22.9,178954240,7630848,0,0.0,70.908
46.6,1200.0,891674624,688377856,22.8,178360320,8093696,0,0.0,70.908
40.9,1200.0,891674624,685166592,23.1,181440512,5013504,0,0.0,71.446
49.0,1200.0,891674624,688033792,22.8,178704384,7716864,0,0.0,70.908
41.9,1200.0,891674624,687259648,22.9,179478528,6959104,0,0.0,71.984
46.7,1200.0,891674624,688025600,22.8,178712576,7741440,0,0.0,71.446
45.3,1200.0,891674624,688050176,22.8,178688000,7766016,0,0.0,71.984
45.0,1200.0,891674624,688209920,22.8,178495488,7958528,0,0.0,72.522
45.4,1200.0,891674624,688168960,22.8,178438144,7884800,0,0.0,73.06
46.2,1200.0,891674624,688123904,22.8,178745344,7839744,0,0.0,73.06
42.1,1200.0,891674624,687439872,22.9,179326976,7127040,0,0.0,73.06
45.6,1200.0,891674624,688128000,22.8,178610176,7974912,0,0.0,73.06
46.2,1200.0,891674624,687857664,22.9,178880512,7704576,0,0.0,73.598
47.5,1200.0,891674624,687915008,22.9,178954240,7499776,0,0.0,73.598
44.0,1200.0,891674624,688099328,22.8,178769920,7684096,0,0.0,73.598
44.2,1200.0,891674624,688148480,22.8,178688000,7766016,0,0.0,73.598
44.9,1200.0,891674624,688160768,22.8,178577408,7876608,0,0.0,73.598
47.9,1200.0,891674624,688066560,22.8,178671616,7782400,0,0.0,73.598
44.8,1200.0,891674624,688275456,22.8,178528256,7958528,0,0.0,74.136
