cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691785728,22.4,175009792,9166848,0,0.0,59.072
0.0,600.0,891674624,691785728,22.4,175009792,9166848,0,0.0,58.534
2.6,800.0,891674624,691867648,22.4,174927872,9248768,0,0.0,59.072
10.1,1000.0,891674624,691273728,22.5,175452160,8556544,0,0.0,59.61
10.2,800.0,891674624,690388992,22.6,176439296,7430144,0,0.0,59.61
11.5,600.0,891674624,691126272,22.5,175628288,8298496,0,0.0,60.148
0.3,650.0,891674624,691134464,22.5,175636480,8290304,0,0.0,59.072
0.0,600.0,891674624,691134464,22.5,175636480,8290304,0,0.0,59.072
0.0,600.0,891674624,691134464,22.5,175636480,8290304,0,0.0,59.072
0.0,600.0,891674624,691134464,22.5,175636480,8290304,0,0.0,59.072
