time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
15:29:53.942916,0.0,650.0,891674624,692887552,22.3,173944832,352714752,0,0.0,162763,47.236
15:29:54.959372,0.0,600.0,891674624,692760576,22.3,174071808,352587776,0,0.0,162764,46.16
15:29:55.975519,0.0,600.0,891674624,692760576,22.3,174071808,352587776,0,0.0,162764,47.236
15:29:56.993490,0.0,600.0,891674624,692752384,22.3,174080000,352579584,0,0.0,162764,46.698
15:29:58.023939,23.0,1200.0,891674624,685502464,23.1,181329920,344686592,0,0.0,171365,48.312
15:29:59.037312,34.1,1100.0,891674624,688013312,22.9,178884608,346898432,0,0.0,183081,49.388
15:30:00.056603,20.2,600.0,891674624,690806784,22.5,175996928,349675520,0,0.0,189491,48.312
15:30:01.075347,21.1,600.0,891674624,691716096,22.4,175091712,350887936,0,0.0,196726,49.388
15:30:02.092970,18.1,600.0,891674624,690597888,22.6,176164864,349388800,0,0.0,203079,49.926
15:30:03.111478,1.5,600.0,891674624,690520064,22.6,176254976,349274112,0,0.0,203385,49.388
15:30:04.166195,27.6,1200.0,891674624,687009792,23.0,179781632,345788416,0,0.0,213284,49.926
15:30:05.182189,16.4,600.0,891674624,690851840,22.5,175878144,349380608,0,0.0,218604,49.388
15:30:06.198476,0.3,600.0,891674624,690851840,22.5,175878144,349380608,0,0.0,218645,49.388
15:30:07.211798,22.7,1100.0,891674624,687308800,22.9,179392512,345698304,0,0.0,227036,49.388
15:30:08.227644,19.5,600.0,891674624,690511872,22.6,176238592,348753920,0,0.0,233523,50.464
15:30:09.243541,0.3,600.0,891674624,690544640,22.6,176201728,348786688,0,0.0,233553,49.388
15:30:10.256285,19.1,1200.0,891674624,687538176,22.9,179175424,345829376,0,0.0,240773,49.926
15:30:11.267235,21.8,1200.0,891674624,690245632,22.6,176513024,348364800,0,0.0,248067,50.464
15:30:12.283472,0.0,600.0,891674624,690483200,22.6,176283648,348463104,0,0.0,248098,49.926
15:30:13.295761,16.6,1200.0,891674624,686379008,23.0,179990528,344760320,0,0.0,254564,49.926
15:30:14.307068,24.5,1200.0,891674624,686370816,23.0,180342784,344154112,0,0.0,262966,51.54
15:30:15.323521,1.0,600.0,891674624,694726656,22.1,171999232,352481280,0,0.0,263044,50.464
15:30:16.335509,11.8,1200.0,891674624,695705600,22.0,171020288,353697792,0,0.0,268013,49.926
15:30:17.346500,16.0,1200.0,891674624,694407168,22.1,172417024,351961088,0,0.0,273854,50.464
15:30:18.362411,8.3,600.0,891674624,695296000,22.0,171483136,352980992,0,0.0,276178,50.464
15:30:19.379546,4.9,600.0,891674624,694845440,22.1,171921408,352403456,0,0.0,277958,49.926
15:30:20.430884,10.6,1200.0,891674624,695832576,22.0,170893312,353746944,0,0.0,283133,50.464
15:30:21.443139,17.4,1100.0,891674624,695132160,22.1,171737088,352600064,0,0.0,289234,50.464
15:30:22.459049,7.8,600.0,891674624,695410688,22.0,171315200,352849920,0,0.0,291674,50.464
15:30:23.475265,3.3,600.0,891674624,695005184,22.1,171716608,352444416,0,0.0,292959,49.388
15:30:24.491055,0.0,600.0,891674624,695087104,22.0,171618304,352444416,0,0.0,292994,49.926
15:30:25.506711,0.0,600.0,891674624,694960128,22.1,171745280,352317440,0,0.0,292995,49.388
15:30:26.522619,0.2,600.0,891674624,694960128,22.1,171737088,352317440,0,0.0,292996,49.388
15:30:27.535725,6.3,1200.0,891674624,695074816,22.0,171622400,352956416,0,0.0,295942,49.388
15:30:28.547070,26.1,1200.0,891674624,695066624,22.0,171646976,352366592,0,0.0,304622,49.926
15:30:29.562159,10.8,600.0,891674624,695345152,22.0,171319296,352526336,0,0.0,307620,49.926
15:30:30.575411,2.2,1100.0,891674624,694595584,22.1,172126208,351694848,0,0.0,308893,49.388
15:30:31.591164,4.3,600.0,891674624,697139200,21.8,169582592,354697216,0,0.0,309913,49.388
15:30:32.606025,0.2,600.0,891674624,697159680,21.8,169562112,354738176,0,0.0,309914,49.388
