cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.5,600.0,891674624,691548160,22.4,175247360,26587136,0,0.0,58.534
0.2,600.0,891674624,691548160,22.4,175243264,26587136,0,0.0,57.996
0.0,600.0,891674624,691548160,22.4,175243264,26587136,0,0.0,57.996
0.3,600.0,891674624,691515392,22.4,175271936,26554368,0,0.0,57.996
1.0,700.0,891674624,691515392,22.4,175271936,26554368,0,0.0,57.996
0.8,600.0,891674624,691621888,22.4,175165440,26656768,0,0.0,58.534
0.0,600.0,891674624,691650560,22.4,175140864,26681344,0,0.0,57.996
0.0,600.0,891674624,691650560,22.4,175140864,26681344,0,0.0,57.996
0.3,600.0,891674624,691650560,22.4,175140864,26681344,0,0.0,57.996
0.0,600.0,891674624,691650560,22.4,175140864,26681344,0,0.0,57.996
