time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
13:54:41.255386,0.0,600.0,891674624,702058496,21.3,164761600,418844672,0,0.0,329686,50.464
13:54:42.268313,7.2,1100.0,891674624,701804544,21.3,165048320,418590720,0,0.0,334636,51.002
13:54:43.281402,16.7,1100.0,891674624,701296640,21.4,165523456,418082816,0,0.0,342780,51.54
13:54:44.294194,12.2,1100.0,891674624,701042688,21.4,165801984,417828864,0,0.0,350829,52.616
13:54:45.306819,14.0,1100.0,891674624,701042688,21.4,165769216,417828864,0,0.0,358618,53.692
13:54:46.319887,12.2,1100.0,891674624,701169664,21.4,165642240,417955840,0,0.0,366841,53.154
13:54:47.333759,15.7,1000.0,891674624,701108224,21.4,165699584,417927168,0,0.0,374989,53.692
13:54:48.346870,14.8,1100.0,891674624,701169664,21.4,165638144,417923072,0,0.0,383122,53.692
13:54:49.360642,14.6,1000.0,891674624,701067264,21.4,165732352,417886208,0,0.0,391268,53.692
13:54:50.375779,12.0,700.0,891674624,701161472,21.4,165638144,417947648,0,0.0,398814,54.23
13:54:51.392234,0.0,600.0,891674624,701161472,21.4,165638144,417947648,0,0.0,398814,53.692
