cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,700.0,891674624,690556928,22.6,176238592,10850304,0,0.0,70.908
0.3,600.0,891674624,690683904,22.5,176107520,10977280,0,0.0,71.446
0.8,900.0,891674624,690683904,22.5,176107520,10862592,0,0.0,71.446
40.6,1200.0,891674624,687644672,22.9,179113984,7790592,0,0.0,73.06
49.8,1200.0,891674624,687222784,22.9,179527680,7061504,0,0.0,74.136
49.1,1200.0,891674624,686419968,23.0,180326400,6225920,0,0.0,74.674
50.4,1200.0,891674624,686899200,23.0,179843072,6705152,0,0.0,75.212
49.4,1200.0,891674624,686493696,23.0,180248576,6299648,0,0.0,75.75
49.9,1200.0,891674624,686469120,23.0,180273152,6406144,0,0.0,76.288
49.2,1200.0,891674624,687194112,22.9,179548160,6868992,0,0.0,76.826
49.8,1200.0,891674624,686637056,23.0,180105216,6443008,0,0.0,77.364
49.9,1200.0,891674624,686653440,23.0,180219904,6328320,0,0.0,77.364
50.1,1200.0,891674624,686829568,23.0,179912704,6635520,0,0.0,77.902
49.7,1200.0,891674624,686891008,23.0,179851264,6696960,0,0.0,78.44
49.4,1200.0,891674624,686747648,23.0,179994624,6553600,0,0.0,78.44
51.8,1200.0,891674624,687259648,22.9,179339264,7163904,0,0.0,79.516
50.4,1200.0,891674624,686702592,23.0,180035584,6467584,0,0.0,79.516
50.2,1200.0,891674624,686714880,23.0,180023296,6479872,0,0.0,79.516
49.7,1200.0,891674624,686759936,23.0,179998720,6504448,0,0.0,79.516
48.4,1200.0,891674624,686403584,23.0,180355072,5988352,0,0.0,79.516
49.2,1200.0,891674624,686129152,23.0,180518912,5984256,0,0.0,79.516
49.4,1200.0,891674624,686579712,23.0,180199424,6303744,0,0.0,79.516
49.9,1200.0,891674624,686579712,23.0,180322304,6172672,0,0.0,79.516
50.0,1200.0,891674624,686407680,23.0,180363264,6131712,0,0.0,79.516
49.1,1200.0,891674624,686039040,23.1,180731904,5632000,0,0.0,79.516
49.5,1200.0,891674624,686981120,22.9,179658752,6836224,0,0.0,80.054
50.0,1200.0,891674624,686432256,23.0,180338688,6156288,0,0.0,80.054
49.4,1200.0,891674624,686411776,23.0,180244480,6250496,0,0.0,80.054
50.1,1200.0,891674624,686280704,23.0,180359168,6135808,0,0.0,79.516
50.0,1200.0,891674624,687177728,22.9,179732480,6754304,0,0.0,79.516
48.6,1200.0,891674624,686747648,23.0,180162560,6324224,0,0.0,79.516
50.2,1200.0,891674624,686526464,23.0,180252672,6365184,0,0.0,80.592
48.9,1200.0,891674624,686657536,23.0,180121600,6365184,0,0.0,80.592
49.6,1200.0,891674624,686362624,23.0,180547584,5939200,0,0.0,80.054
48.4,1200.0,891674624,686739456,23.0,179908608,6578176,0,0.0,80.054
50.9,1200.0,891674624,686870528,23.0,179908608,6578176,0,0.0,80.592
48.2,1200.0,891674624,686501888,23.0,180277248,6209536,0,0.0,80.592
50.1,1200.0,891674624,686747648,23.0,180031488,6455296,0,0.0,80.592
48.2,1200.0,891674624,686927872,23.0,179851264,6635520,0,0.0,80.592
47.9,1100.0,891674624,687464448,22.9,179314688,7172096,0,0.0,80.592
50.3,1200.0,891674624,686862336,23.0,179916800,6701056,0,0.0,80.592
50.5,900.0,891674624,686682112,23.0,180097024,6385664,0,0.0,80.592
50.2,1200.0,891674624,686743552,23.0,179920896,6561792,0,0.0,80.592
48.4,1200.0,891674624,686645248,23.0,180133888,6348800,0,0.0,80.592
50.0,1200.0,891674624,686870528,23.0,179908608,6574080,0,0.0,80.592
47.7,1200.0,891674624,686788608,23.0,179990528,6492160,0,0.0,80.592
50.5,1200.0,891674624,686784512,23.0,179994624,6488064,0,0.0,80.592
48.7,1200.0,891674624,686850048,23.0,179924992,6549504,0,0.0,80.592
50.0,1200.0,891674624,687042560,23.0,179826688,6647808,0,0.0,80.592
48.5,1200.0,891674624,686473216,23.0,180301824,6172672,0,0.0,80.054
50.1,1200.0,891674624,686727168,23.0,180047872,6426624,0,0.0,80.592
48.2,1200.0,891674624,686759936,23.0,180015104,6459392,0,0.0,80.592
50.3,1200.0,891674624,686665728,23.0,180244480,6230016,0,0.0,81.13
48.7,1200.0,891674624,686903296,23.0,179875840,6594560,0,0.0,81.668
50.1,1200.0,891674624,686911488,23.0,179998720,6586368,0,0.0,80.592
48.2,1200.0,891674624,686821376,23.0,179957760,6512640,0,0.0,80.592
49.7,1200.0,891674624,687116288,22.9,179662848,6807552,0,0.0,80.592
48.1,1200.0,891674624,686354432,23.0,180301824,6168576,0,0.0,80.592
50.9,1200.0,891674624,686915584,23.0,179863552,6606848,0,0.0,80.592
48.5,1200.0,891674624,687095808,22.9,179683328,6656000,0,0.0,80.592
50.0,1200.0,891674624,686698496,23.0,180080640,6389760,0,0.0,80.592
48.6,1200.0,891674624,687095808,22.9,179683328,6787072,0,0.0,80.592
50.3,1200.0,891674624,686989312,23.0,179789824,6680576,0,0.0,80.592
47.7,1200.0,891674624,687030272,23.0,179748864,6721536,0,0.0,81.668
51.5,1200.0,891674624,686977024,23.0,179802112,6668288,0,0.0,81.13
47.7,1200.0,891674624,686800896,23.0,180105216,6356992,0,0.0,80.592
50.2,1200.0,891674624,686776320,23.0,179998720,6463488,0,0.0,80.592
47.7,1200.0,891674624,686473216,23.0,180301824,6291456,0,0.0,81.13
50.0,1200.0,891674624,686452736,23.0,180322304,6139904,0,0.0,81.13
48.2,1200.0,891674624,687075328,22.9,179830784,6631424,0,0.0,80.592
50.4,1200.0,891674624,687017984,23.0,179757056,6828032,0,0.0,80.592
48.8,1200.0,891674624,686641152,23.0,180133888,6328320,0,0.0,80.592
48.1,1000.0,891674624,687501312,22.9,179404800,7057408,0,0.0,80.592
49.9,1200.0,891674624,686297088,23.0,180363264,6098944,0,0.0,81.13
47.6,1000.0,891674624,685912064,23.1,180862976,5599232,0,0.0,81.668
50.3,1200.0,891674624,686624768,23.0,180150272,6311936,0,0.0,81.668
49.7,1200.0,891674624,686452736,23.0,180326400,6135808,0,0.0,81.13
50.0,1200.0,891674624,686182400,23.0,180596736,5865472,0,0.0,81.668
48.6,1200.0,891674624,686297088,23.0,180613120,5849088,0,0.0,81.668
49.9,1200.0,891674624,686432256,23.0,180346880,6115328,0,0.0,81.668
48.4,1200.0,891674624,686833664,23.0,179945472,6516736,0,0.0,81.13
50.1,1200.0,891674624,686067712,23.1,180711424,5750784,0,0.0,81.668
49.0,1200.0,891674624,686399488,23.0,180371456,6082560,0,0.0,81.668
48.3,1200.0,891674624,686178304,23.0,180477952,5976064,0,0.0,82.206
47.9,1200.0,891674624,686272512,23.0,180498432,5955584,0,0.0,81.668
49.9,1200.0,891674624,685895680,23.1,180744192,5709824,0,0.0,81.668
48.1,1200.0,891674624,686370816,23.0,180531200,6053888,0,0.0,81.668
51.0,1200.0,891674624,686575616,23.0,180195328,6127616,0,0.0,82.206
