cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.2,600.0,891674624,690339840,22.6,176455680,11296768,0,0.0,70.908
0.0,600.0,891674624,690339840,22.6,176455680,11296768,0,0.0,71.984
8.8,1200.0,891674624,690393088,22.6,176414720,11333632,0,0.0,71.984
45.7,1200.0,891674624,687312896,22.9,179466240,7897088,0,0.0,73.06
49.6,1200.0,891674624,686559232,23.0,180228096,6983680,0,0.0,74.674
49.5,1000.0,891674624,686972928,23.0,179937280,7233536,0,0.0,75.212
49.0,1200.0,891674624,686043136,23.1,180867072,6303744,0,0.0,75.75
49.0,1200.0,891674624,686350336,23.0,180297728,6873088,0,0.0,76.288
50.0,1200.0,891674624,686645248,23.0,180264960,6905856,0,0.0,77.364
51.4,1200.0,891674624,686149632,23.0,180625408,6541312,0,0.0,77.364
49.8,1200.0,891674624,686743552,23.0,179892224,7266304,0,0.0,78.44
49.7,1200.0,891674624,686673920,23.0,180092928,7065600,0,0.0,77.902
49.6,1200.0,891674624,686522368,23.0,180244480,6914048,0,0.0,78.44
49.8,1200.0,891674624,686821376,23.0,179945472,7213056,0,0.0,78.978
50.4,1200.0,891674624,687230976,22.9,179548160,7610368,0,0.0,79.516
50.0,1150.0,891674624,687345664,22.9,179433472,7725056,0,0.0,79.516
50.1,1200.0,891674624,686833664,23.0,179826688,7331840,0,0.0,79.516
49.7,1200.0,891674624,686366720,23.0,180412416,6746112,0,0.0,79.516
48.1,1200.0,891674624,687050752,22.9,179859456,7299072,0,0.0,79.516
49.2,1200.0,891674624,686755840,23.0,180015104,7135232,0,0.0,79.516
49.7,1200.0,891674624,686071808,23.0,180445184,6705152,0,0.0,80.054
48.6,1200.0,891674624,686555136,23.0,180092928,6934528,0,0.0,80.054
50.0,1200.0,891674624,686858240,23.0,179920896,7229440,0,0.0,81.13
49.1,1200.0,891674624,686714880,23.0,180064256,6955008,0,0.0,80.054
48.6,1200.0,891674624,686649344,23.0,179998720,7151616,0,0.0,80.054
50.1,1200.0,891674624,687517696,22.9,179261440,7888896,0,0.0,80.592
49.9,1200.0,891674624,686813184,23.0,179965952,7184384,0,0.0,80.592
49.0,1200.0,891674624,686833664,23.0,179945472,7204864,0,0.0,80.592
50.0,1200.0,891674624,686817280,23.0,180092928,7057408,0,0.0,80.592
48.8,1200.0,891674624,686600192,23.0,180178944,6971392,0,0.0,80.592
48.0,1200.0,891674624,686706688,23.0,180072448,7077888,0,0.0,81.668
50.9,1200.0,891674624,686288896,23.0,180490240,6660096,0,0.0,80.592
48.9,1200.0,891674624,686669824,23.0,180109312,7036928,0,0.0,80.592
49.7,1200.0,891674624,687120384,23.0,179789824,7356416,0,0.0,81.668
48.4,1200.0,891674624,686727168,23.0,180183040,6963200,0,0.0,81.13
50.1,1200.0,891674624,686751744,23.0,180027392,7118848,0,0.0,81.13
47.8,1200.0,891674624,686501888,23.0,180277248,6868992,0,0.0,81.13
51.3,1200.0,891674624,686391296,23.0,180387840,6758400,0,0.0,80.592
47.7,1200.0,891674624,686735360,23.0,180043776,7102464,0,0.0,81.13
50.4,1200.0,891674624,686784512,23.0,179994624,7151616,0,0.0,81.13
48.5,1200.0,891674624,686923776,23.0,179855360,7290880,0,0.0,81.668
50.3,1200.0,891674624,686841856,23.0,180068352,7077888,0,0.0,81.668
48.6,1200.0,891674624,687116288,22.9,179662848,7352320,0,0.0,81.13
51.0,1200.0,891674624,687194112,22.9,179585024,7561216,0,0.0,81.13
48.4,1200.0,891674624,686673920,23.0,180252672,6885376,0,0.0,81.668
50.3,1200.0,891674624,686981120,23.0,179683328,7454720,0,0.0,81.668
48.0,1200.0,891674624,686972928,23.0,179822592,7315456,0,0.0,81.668
50.0,1200.0,891674624,686821376,23.0,179843072,7294976,0,0.0,81.668
48.5,1200.0,891674624,686792704,23.0,180133888,7004160,0,0.0,81.13
50.6,1200.0,891674624,686575616,23.0,180215808,6918144,0,0.0,81.668
48.1,1200.0,891674624,686956544,23.0,179834880,7299072,0,0.0,81.13
49.7,1200.0,891674624,686972928,23.0,179818496,7315456,0,0.0,81.668
48.2,1200.0,891674624,686436352,23.0,180355072,6778880,0,0.0,81.668
50.0,1200.0,891674624,686714880,23.0,180076544,7057408,0,0.0,81.668
49.2,1200.0,891674624,686391296,23.0,180400128,6733824,0,0.0,80.592
49.9,1200.0,891674624,686800896,23.0,179990528,7143424,0,0.0,81.13
48.4,1200.0,891674624,686268416,23.0,180523008,6610944,0,0.0,80.592
48.5,1000.0,891674624,687288320,22.9,179625984,7507968,0,0.0,81.13
50.0,1200.0,891674624,686383104,23.0,180408320,6856704,0,0.0,81.668
47.9,900.0,891674624,686878720,23.0,179912704,7221248,0,0.0,81.13
50.3,1200.0,891674624,686419968,23.0,180371456,6762496,0,0.0,80.592
48.1,1050.0,891674624,686403584,23.0,180387840,6746112,0,0.0,81.13
50.0,1200.0,891674624,686477312,23.0,180183040,6950912,0,0.0,81.13
47.1,1100.0,891674624,686338048,23.0,180568064,6565888,0,0.0,81.668
50.0,1200.0,891674624,685903872,23.1,180887552,6508544,0,0.0,81.668
49.1,1200.0,891674624,686436352,23.0,180486144,6647808,0,0.0,81.13
