time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
13:34:25.246894,0.0,600.0,891674624,702595072,21.2,164225024,423620608,0,0.0,1363,49.388
13:34:26.263742,0.0,600.0,891674624,702595072,21.2,164225024,423620608,0,0.0,1363,49.388
13:34:27.281083,1.3,600.0,891674624,702464000,21.2,164356096,423489536,0,0.0,1664,48.312
13:34:28.298409,0.0,600.0,891674624,702595072,21.2,164225024,423620608,0,0.0,1664,49.388
13:34:29.315162,0.0,600.0,891674624,702595072,21.2,164225024,423620608,0,0.0,1664,48.312
13:34:30.331773,0.0,600.0,891674624,702595072,21.2,164216832,423620608,0,0.0,1664,48.85
13:34:31.347916,0.0,600.0,891674624,702595072,21.2,164216832,423620608,0,0.0,1664,48.312
13:34:32.364006,0.0,600.0,891674624,702595072,21.2,164216832,423620608,0,0.0,1664,48.312
13:34:33.380058,0.0,600.0,891674624,702611456,21.2,164200448,423636992,0,0.0,1664,48.312
13:34:34.397157,0.2,650.0,891674624,702611456,21.2,164200448,423636992,0,0.0,1664,48.85
13:34:35.414469,0.2,600.0,891674624,702611456,21.2,164200448,423636992,0,0.0,1664,48.312
13:34:36.431151,0.0,600.0,891674624,702611456,21.2,164200448,423636992,0,0.0,1664,48.312
13:34:37.447731,0.2,600.0,891674624,702611456,21.2,164200448,423636992,0,0.0,1664,49.388
13:34:38.463963,0.3,600.0,891674624,702627840,21.2,164184064,423653376,0,0.0,1664,48.85
13:34:39.480331,0.0,600.0,891674624,702640128,21.2,164184064,423653376,0,0.0,1664,48.312
13:34:40.498160,0.0,600.0,891674624,702640128,21.2,164184064,423653376,0,0.0,1664,48.312
13:34:41.515050,0.0,600.0,891674624,702640128,21.2,164184064,423653376,0,0.0,1664,49.388
