cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691585024,22.4,175157248,8499200,0,0.0,59.072
0.0,600.0,891674624,691585024,22.4,175157248,8499200,0,0.0,59.072
1.5,850.0,891674624,691425280,22.5,175316992,8339456,0,0.0,59.072
7.8,800.0,891674624,691195904,22.5,175501312,8085504,0,0.0,59.072
8.2,800.0,891674624,690610176,22.5,176111616,7290880,0,0.0,60.148
11.7,1200.0,891674624,690466816,22.6,176312320,6963200,0,0.0,60.148
0.3,600.0,891674624,691429376,22.5,175288320,8085504,0,0.0,59.61
0.5,700.0,891674624,691437568,22.5,175288320,8085504,0,0.0,59.072
0.3,600.0,891674624,691437568,22.5,175288320,8085504,0,0.0,59.61
0.0,600.0,891674624,691437568,22.5,175288320,8085504,0,0.0,59.072
0.2,600.0,891674624,691437568,22.5,175288320,8085504,0,0.0,59.072
0.5,600.0,891674624,691437568,22.5,175288320,8085504,0,0.0,59.072
0.3,600.0,891674624,691494912,22.4,175288320,8085504,0,0.0,59.072
0.3,600.0,891674624,691597312,22.4,175185920,8187904,0,0.0,59.072
0.0,600.0,891674624,691621888,22.4,175161344,8212480,0,0.0,59.61
