cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,690987008,22.5,175808512,10973184,0,0.0,62.838
0.0,600.0,891674624,690987008,22.5,175808512,10973184,0,0.0,62.838
3.8,1200.0,891674624,691011584,22.5,175665152,11108352,0,0.0,63.376
42.3,1200.0,891674624,689979392,22.6,176930816,9670656,0,0.0,64.99
47.4,1200.0,891674624,688066560,22.8,178704384,7417856,0,0.0,66.604
45.3,1200.0,891674624,687898624,22.8,178802688,7294976,0,0.0,66.604
46.2,1200.0,891674624,687808512,22.9,178827264,7385088,0,0.0,67.142
45.4,900.0,891674624,687267840,22.9,179376128,6836224,0,0.0,68.218
47.3,1200.0,891674624,688099328,22.8,178798592,7544832,0,0.0,67.68
45.1,1200.0,891674624,688275456,22.8,178589696,7622656,0,0.0,69.294
43.2,1200.0,891674624,687935488,22.9,178962432,7249920,0,0.0,68.756
46.5,900.0,891674624,688508928,22.8,178257920,7954432,0,0.0,68.756
31.5,1200.0,891674624,689311744,22.7,177455104,8757248,0,0.0,68.756
1.8,600.0,891674624,689586176,22.7,177180672,9031680,0,0.0,67.68
0.0,600.0,891674624,689586176,22.7,177180672,9031680,0,0.0,66.604
1.3,700.0,891674624,689090560,22.7,177668096,8536064,0,0.0,66.604
