cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691150848,22.5,175644672,10928128,0,0.0,63.376
0.0,600.0,891674624,691150848,22.5,175644672,10928128,0,0.0,63.376
8.2,1200.0,891674624,690524160,22.6,176390144,10174464,0,0.0,63.376
44.4,1200.0,891674624,687484928,22.9,179138560,6995968,0,0.0,64.452
47.2,1200.0,891674624,687808512,22.9,178958336,7057408,0,0.0,66.604
46.5,1200.0,891674624,687915008,22.9,178843648,7110656,0,0.0,67.142
45.8,1200.0,891674624,687882240,22.9,179007488,6930432,0,0.0,68.218
46.4,1200.0,891674624,687751168,22.9,179007488,6930432,0,0.0,68.218
46.4,1200.0,891674624,687960064,22.8,178798592,7139328,0,0.0,68.756
44.9,1000.0,891674624,687390720,22.9,179499008,6438912,0,0.0,69.294
46.4,1200.0,891674624,688123904,22.8,178503680,7434240,0,0.0,69.294
46.2,1200.0,891674624,688492544,22.8,178135040,7802880,0,0.0,69.832
34.2,1200.0,891674624,689881088,22.6,176771072,9281536,0,0.0,69.832
1.0,650.0,891674624,691040256,22.5,175718400,10584064,0,0.0,68.756
0.0,600.0,891674624,691040256,22.5,175718400,10584064,0,0.0,67.142
0.3,600.0,891674624,691040256,22.5,175718400,10584064,0,0.0,66.604
