cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,692211712,22.4,174583808,26890240,0,0.0,58.534
0.0,600.0,891674624,692211712,22.4,174583808,26890240,0,0.0,57.996
0.5,700.0,891674624,692080640,22.4,174583808,26890240,0,0.0,58.534
1.8,600.0,891674624,692236288,22.4,174538752,26914816,0,0.0,58.534
0.3,600.0,891674624,692256768,22.4,174538752,26914816,0,0.0,58.534
1.0,600.0,891674624,692256768,22.4,174538752,26914816,0,0.0,57.996
0.3,600.0,891674624,692256768,22.4,174538752,26914816,0,0.0,58.534
0.0,600.0,891674624,692256768,22.4,174538752,26914816,0,0.0,57.996
0.2,600.0,891674624,692256768,22.4,174538752,26914816,0,0.0,57.996
0.3,600.0,891674624,692248576,22.4,174542848,26906624,0,0.0,57.996
