cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.2,600.0,891674624,691556352,22.4,175239168,12361728,0,0.0,62.3
0.3,600.0,891674624,691548160,22.4,175247360,12353536,0,0.0,61.762
6.7,1200.0,891674624,691580928,22.4,175206400,12255232,0,0.0,62.3
45.3,1200.0,891674624,688717824,22.7,177905664,9527296,0,0.0,63.376
46.3,1200.0,891674624,688234496,22.8,178540544,8552448,0,0.0,64.99
46.7,1200.0,891674624,687566848,22.9,179068928,8130560,0,0.0,65.528
44.8,1200.0,891674624,686415872,23.0,180350976,6848512,0,0.0,66.066
45.4,700.0,891674624,687284224,22.9,179486720,7712768,0,0.0,66.604
46.7,1200.0,891674624,687968256,22.8,178671616,8396800,0,0.0,66.604
46.5,1200.0,891674624,687775744,22.9,178995200,8204288,0,0.0,67.142
47.0,1200.0,891674624,688209920,22.8,178692096,8507392,0,0.0,67.68
43.2,1200.0,891674624,688148480,22.8,178622464,8708096,0,0.0,67.68
30.1,600.0,891674624,689434624,22.7,177336320,9863168,0,0.0,66.604
0.0,600.0,891674624,689459200,22.7,177336320,9863168,0,0.0,66.604
0.0,600.0,891674624,689459200,22.7,177336320,9863168,0,0.0,65.528
