cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.2,600.0,891674624,691228672,22.5,175566848,10731520,0,0.0,63.376
0.0,600.0,891674624,691228672,22.5,175566848,10731520,0,0.0,63.376
16.5,1200.0,891674624,690122752,22.6,176779264,9625600,0,0.0,64.452
48.9,1200.0,891674624,688570368,22.8,178286592,7569408,0,0.0,65.528
47.0,1200.0,891674624,687927296,22.9,178970624,6762496,0,0.0,66.604
45.5,1200.0,891674624,687661056,22.9,179101696,6610944,0,0.0,67.142
46.6,1200.0,891674624,687976448,22.8,178786304,7057408,0,0.0,67.68
47.0,1200.0,891674624,687620096,22.9,179011584,6701056,0,0.0,68.756
46.1,1200.0,891674624,687788032,22.9,178843648,6868992,0,0.0,68.756
41.7,1200.0,891674624,685416448,23.1,181329920,5509120,0,0.0,69.294
48.4,1200.0,891674624,688189440,22.8,178573312,8323072,0,0.0,68.756
46.9,1200.0,891674624,688791552,22.7,177840128,9056256,0,0.0,69.832
25.4,600.0,891674624,690929664,22.5,175833088,11407360,0,0.0,69.294
1.0,600.0,891674624,691298304,22.5,175497216,11751424,0,0.0,67.68
0.0,600.0,891674624,691298304,22.5,175497216,11751424,0,0.0,67.142
0.0,600.0,891674624,691298304,22.5,175497216,11751424,0,0.0,66.604
