time,cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,packets_received,cpu_temperature
15:24:43.077430,0.0,600.0,891674624,694894592,22.1,171925504,357875712,0,0.0,214,46.16
15:24:44.090064,1.0,1200.0,891674624,694218752,22.1,172601344,357199872,0,0.0,1088,46.698
15:24:45.106866,19.6,600.0,891674624,693714944,22.2,173076480,356503552,0,0.0,8811,46.16
15:24:46.123355,4.5,600.0,891674624,693866496,22.2,172961792,356593664,0,0.0,10294,46.698
15:24:47.139545,7.3,600.0,891674624,693825536,22.2,173002752,356552704,0,0.0,13476,47.236
15:24:48.155439,5.0,600.0,891674624,693776384,22.2,173031424,356442112,0,0.0,15426,46.16
15:24:49.172017,0.0,600.0,891674624,693776384,22.2,173031424,356442112,0,0.0,15427,46.16
