cpu_usage_percent,cpu_freq_current,memory_total,memory_available,memory_percent,memory_used,memory_free,swap_used,swap_percent,cpu_temperature
0.0,600.0,891674624,691286016,22.5,175501312,9650176,0,0.0,60.148
0.2,700.0,891674624,691290112,22.5,175501312,9650176,0,0.0,59.61
8.6,800.0,891674624,691544064,22.5,175292416,9838592,0,0.0,60.148
21.2,900.0,891674624,690958336,22.5,175763456,9449472,0,0.0,61.224
24.4,1000.0,891674624,690241536,22.6,176463872,8400896,0,0.0,61.762
20.2,600.0,891674624,691138560,22.5,175591424,9289728,0,0.0,61.224
0.5,700.0,891674624,691138560,22.5,175591424,9289728,0,0.0,61.224
0.5,600.0,891674624,691269632,22.5,175464448,9416704,0,0.0,60.686
0.0,600.0,891674624,691269632,22.5,175464448,9416704,0,0.0,60.686
0.0,600.0,891674624,691269632,22.5,175464448,9416704,0,0.0,60.148
